Peak Number,Energy (eV),electron number, atom,ELECTRON
348,4.1569964, 5.39171,375, lithium ionization 1, ELECTRON
348,0.2260164, 9.32269,376, beryllium ionization 1, ELECTRON
349,4.1501608, 5.39171,377, lithium ionization 1, ELECTRON
349,0.2191808, 9.32269,378, beryllium ionization 1, ELECTRON
350,4.1463031, 5.39171,379, lithium ionization 1, ELECTRON
350,0.2153231, 9.32269,380, beryllium ionization 1, ELECTRON
351,4.1496498, 5.39171,381, lithium ionization 1, ELECTRON
351,0.2186698, 9.32269,382, beryllium ionization 1, ELECTRON
352,0.8851313, 5.39171,383, lithium ionization 1, ELECTRON
355,4.1590764, 5.39171,384, lithium ionization 1, ELECTRON
355,0.2280964, 9.32269,385, beryllium ionization 1, ELECTRON
356,4.1263653, 5.39171,386, lithium ionization 1, ELECTRON
356,0.1953853, 9.32269,387, beryllium ionization 1, ELECTRON
357,0.8485091, 5.39171,388, lithium ionization 1, ELECTRON
358,4.1255831, 5.39171,389, lithium ionization 1, ELECTRON
358,0.1946031, 9.32269,390, beryllium ionization 1, ELECTRON
359,4.1338631, 5.39171,391, lithium ionization 1, ELECTRON
359,0.2028831, 9.32269,392, beryllium ionization 1, ELECTRON
360,4.1696675, 5.39171,393, lithium ionization 1, ELECTRON
360,0.2386875, 9.32269,394, beryllium ionization 1, ELECTRON
361,0.8520335, 5.39171,395, lithium ionization 1, ELECTRON
362,0.8489135, 5.39171,396, lithium ionization 1, ELECTRON
364,4.1346809, 5.39171,397, lithium ionization 1, ELECTRON
364,0.2037009, 9.32269,398, beryllium ionization 1, ELECTRON
365,0.8261535, 5.39171,399, lithium ionization 1, ELECTRON
366,4.1207920, 5.39171,400, lithium ionization 1, ELECTRON
366,0.1898120, 9.32269,401, beryllium ionization 1, ELECTRON
368,0.8388024, 5.39171,402, lithium ionization 1, ELECTRON
370,4.1261786, 5.39171,403, lithium ionization 1, ELECTRON
370,0.1951986, 9.32269,404, beryllium ionization 1, ELECTRON
372,4.1222498, 5.39171,405, lithium ionization 1, ELECTRON
372,0.1912698, 9.32269,406, beryllium ionization 1, ELECTRON
373,4.1188942, 5.39171,407, lithium ionization 1, ELECTRON
373,0.1879142, 9.32269,408, beryllium ionization 1, ELECTRON
374,4.1135431, 5.39171,409, lithium ionization 1, ELECTRON
374,0.1825631, 9.32269,410, beryllium ionization 1, ELECTRON
375,4.1183075, 5.39171,411, lithium ionization 1, ELECTRON
375,0.1873275, 9.32269,412, beryllium ionization 1, ELECTRON
376,4.1174231, 5.39171,413, lithium ionization 1, ELECTRON
376,0.1864431, 9.32269,414, beryllium ionization 1, ELECTRON
377,0.8257935, 5.39171,415, lithium ionization 1, ELECTRON
378,4.1232275, 5.39171,416, lithium ionization 1, ELECTRON
378,0.1922475, 9.32269,417, beryllium ionization 1, ELECTRON
379,4.1102542, 5.39171,418, lithium ionization 1, ELECTRON
379,0.1792742, 9.32269,419, beryllium ionization 1, ELECTRON
380,4.0822097, 5.39171,420, lithium ionization 1, ELECTRON
380,0.1512297, 9.32269,421, beryllium ionization 1, ELECTRON
384,4.0877386, 5.39171,422, lithium ionization 1, ELECTRON
384,0.1567586, 9.32269,423, beryllium ionization 1, ELECTRON
385,4.0591786, 5.39171,424, lithium ionization 1, ELECTRON
385,0.1281986, 9.32269,425, beryllium ionization 1, ELECTRON
386,4.0632897, 5.39171,426, lithium ionization 1, ELECTRON
386,0.1323097, 9.32269,427, beryllium ionization 1, ELECTRON
387,0.7347624, 5.39171,428, lithium ionization 1, ELECTRON
389,0.7746602, 5.39171,429, lithium ionization 1, ELECTRON
