Peak Number,Amplitude,Period (ns),Frequency (Hz),Energy (eV), Photons Flux in J/s
145,56,0.00040000421057063973,14999842105263.078,0.4527142,5.262389627308842e+21
146,60,0.0006000063158559665,9999894736841.936,1.0928869,9.061512751105893e+21
147,52,0.0006000063158559527,9999894736842.168,1.0913002,6.806202910830491e+21
148,67,0.0008000084211412795,7499921052631.539,1.0913002,1.5065603977671808e+22
149,61,0.0006000063158559527,9999894736842.168,1.0893758,9.366080263017847e+21
150,67,0.0006000063158559527,9999894736842.168,1.0905402,1.1299202983253726e+22
151,69,0.00040000421057063973,14999842105263.078,0.4459853,7.989233742224937e+21
152,49,0.0006000063158559527,9999894736842.168,1.0867402,6.043525587612429e+21
153,57,0.0006000063158559527,9999894736842.168,1.0879669,8.178015257872879e+21
154,43,0.0008000084211412795,7499921052631.539,1.0879669,6.205458176590594e+21
155,58,0.0006000063158559527,9999894736842.168,1.0841535,8.4674802485332e+21
156,64,0.00040000421057063973,14999842105263.078,0.4443409,6.873325227505427e+21
157,62,0.00040000421057063973,14999842105263.078,0.4414609,6.450454632453824e+21
158,68,0.00040000421057063973,14999842105263.078,0.4377186,7.759339807613548e+21
159,55,0.0006000063158559527,9999894736842.168,1.0781713,7.614187797804081e+21
160,57,0.0008000084211412795,7499921052631.539,1.0781713,1.090402034383063e+22
161,56,0.0006000063158559527,9999894736842.168,1.0776558,7.893584440963173e+21
162,47,0.0006000063158559527,9999894736842.168,1.0755935,5.560244907553459e+21
163,57,0.0012000126317119192,4999947368421.025,1.0755935,1.635603051574595e+22
164,62,0.0006000063158559527,9999894736842.168,1.0747091,9.675681948680623e+21
165,55,0.0006000063158559527,9999894736842.168,1.0726158,7.614187797804081e+21
166,68,0.0006000063158559665,9999894736841.936,1.0886424,1.1639009711420458e+22
167,59,0.0008000084211412656,7499921052631.669,1.0886424,1.168263921725878e+22
168,73,0.00040000421057063973,14999842105263.078,0.4455986,8.942370639007916e+21
169,68,0.0008000084211412795,7499921052631.539,0.4455986,1.5518679615227096e+22
170,50,0.0008000084211412795,7499921052631.539,0.4455986,8.390289584357211e+21
171,62,0.0012000126317119053,4999947368421.084,0.4455986,1.9351363897361246e+22
172,66,0.0006000063158559527,9999894736842.168,1.0861891,1.0964430428837876e+22
173,54,0.0006000063158559665,9999894736841.936,1.0888646,7.339825328395773e+21
174,61,0.0006000063158559527,9999894736842.168,1.0877846,9.366080263017847e+21
175,65,0.00040000421057063973,14999842105263.078,0.4466431,7.089794698781844e+21
176,59,0.00040000421057063973,14999842105263.078,0.4444742,5.84131960862949e+21
177,73,0.0008000084211412656,7499921052631.669,0.4444742,1.788474127801552e+22
178,72,0.00040000421057063973,14999842105263.078,0.4486031,8.699052241061557e+21
179,73,0.0008000084211412795,7499921052631.539,0.4486031,1.7884741278015831e+22
180,55,0.00040000421057063973,14999842105263.078,0.4527764,5.076125198536112e+21
181,56,0.0010000105264265924,5999936842105.272,0.4527764,1.3155974068272015e+22
182,62,0.00040000421057063973,14999842105263.078,0.4526342,6.450454632453824e+21
183,72,0.0008000084211412656,7499921052631.669,0.4526342,1.739810448212281e+22
184,51,0.00040000421057063973,14999842105263.078,0.4500031,4.364628641782621e+21
185,62,0.00040000421057063973,14999842105263.078,0.4522386,6.450454632453824e+21
186,54,0.0006000063158559527,9999894736842.168,1.0916069,7.339825328395603e+21
187,54,0.0008000084211412795,7499921052631.539,1.0916069,9.78643377119425e+21
188,59,0.00040000421057063973,14999842105263.078,0.4548297,5.84131960862949e+21
189,62,0.00040000421057063973,14999842105263.078,0.4552386,6.450454632453824e+21
190,52,0.00040000421057063973,14999842105263.078,0.4545675,4.53746860722038e+21
191,62,0.0006000063158559527,9999894736842.168,1.0918024,9.675681948680623e+21
192,58,0.00040000421057063973,14999842105263.078,0.4501142,5.644986832355531e+21
193,59,0.0006000063158559527,9999894736842.168,1.0903358,8.761979412944134e+21
194,54,0.00040000421057063973,14999842105263.078,0.4523053,4.893216885597125e+21
195,46,0.00040000421057063973,14999842105263.078,0.4483497,3.550770552099972e+21
196,41,0.00040000421057062585,14999842105263.598,0.4492964,2.8208153582607967e+21
197,55,0.00040000421057063973,14999842105263.078,0.4473675,5.076125198536112e+21
198,63,0.0006000063158559665,9999894736841.936,1.0856558,9.990317808094246e+21
199,59,0.0006000063158559527,9999894736842.168,1.0805180,8.761979412944134e+21
200,64,0.00040000421057063973,14999842105263.078,0.4411097,6.873325227505427e+21
201,60,0.00040000421057062585,14999842105263.598,0.4414075,6.041008500736983e+21
202,58,0.0006000063158559665,9999894736841.936,1.0824247,8.467480248533396e+21
203,52,0.0010000105264265924,5999936842105.272,1.0824247,1.134367151805087e+22
204,62,0.00040000421057062585,14999842105263.598,0.4421675,6.4504546324536e+21
205,53,0.0010000105264265924,5999936842105.272,0.4421675,1.178416172122962e+22
206,57,0.0004000042105706536,14999842105262.557,0.4434431,5.452010171915505e+21
207,67,0.00040000421057062585,14999842105263.598,0.4431720,7.532801988835644e+21
208,83,0.0006000063158559665,9999894736841.936,1.0911358,1.7340211483991249e+22
209,76,0.0006000063158559665,9999894736841.936,1.0886958,1.4538693791774344e+22
210,59,0.0006000063158559388,9999894736842.398,1.0825357,8.761979412943932e+21
211,60,0.0006000063158559665,9999894736841.936,1.0827269,9.061512751105893e+21
212,60,0.00040000421057062585,14999842105263.598,0.4433320,6.041008500736983e+21
213,63,0.0004000042105706536,14999842105262.557,0.4416342,6.660211872062985e+21
214,66,0.0006000063158559388,9999894736842.398,1.0822824,1.0964430428837624e+22
215,64,0.0008000084211412795,7499921052631.539,1.0822824,1.3746650455010854e+22
216,61,0.0004000042105706536,14999842105262.557,0.4475275,6.244053508678853e+21
217,63,0.00040000421057062585,14999842105263.598,0.4447320,6.660211872062524e+21
218,59,0.0006000063158559665,9999894736841.936,1.0836513,8.761979412944337e+21
219,55,0.0006000063158559388,9999894736842.398,1.0816602,7.614187797803906e+21
220,53,0.0006000063158559665,9999894736841.936,1.0815669,7.070497032737903e+21
221,40,0.0006000063158559388,9999894736842.398,1.0801669,4.027339000491322e+21
222,58,0.0008000084211412795,7499921052631.539,1.0801669,1.1289973664711063e+22
223,45,0.0008000084211412795,7499921052631.539,1.0801669,6.796134563329341e+21
224,69,0.0004000042105706536,14999842105262.557,0.4349408,7.989233742225213e+21
225,72,0.00040000421057062585,14999842105263.598,0.4339542,8.699052241061256e+21
226,68,0.0006000063158559665,9999894736841.936,1.0761402,1.1639009711420458e+22
227,56,0.0008000084211412517,7499921052631.799,1.0761402,1.0524779254617322e+22
228,74,0.001200012631711933,4999947368420.968,1.0761402,2.756713545836437e+22
229,65,0.00040000421057062585,14999842105263.598,0.4371942,7.089794698781598e+21
230,55,0.0004000042105706536,14999842105262.557,0.4171942,5.076125198536289e+21
231,70,0.00040000421057062585,14999842105263.598,0.4045497,8.222483792669783e+21
232,69,0.0012000126317119053,4999947368421.084,0.4045497,2.396770122667453e+22
233,57,0.0004000042105706536,14999842105262.557,0.4098431,5.452010171915505e+21
234,57,0.00040000421057062585,14999842105263.598,0.4103808,5.452010171915127e+21
